name,category,company,dof,sensors,opensource,license,notes
MIDAS Hand,dexterous_hand,MIT,13 active 16 total,tactile + motor state,yes,CERN-OHL/MIT,open hardware platform
Wuji Hand 2,dexterous_hand,Wuji,20,"joint state + per-finger self-describing tactile streams + diagnostics",partial,"SDK package and docs public","SDK v2026.7.21 adds tactile metadata status runtime recalibration timestamp drift fix and communication-loss motor stop"
mimic hand M1,dexterous_hand,mimic,21,tactile + force estimation,no,,commercial research platform
AGIBOT OmniHand 3 Ultra-M,dexterous_hand,AGIBOT,20,vision tactile + palm tactile,no,,commercial product
MVP-Tac,tactile_hardware,University of Michigan and collaborators,not applicable,"1280x720 dual-mode camera + photoelastic tactile + 0-2N force",yes,to verify,"miniature co-located vision/tactile sensor with open design fabrication and firmware; component cost under USD 20"
UHAS,cross_embodiment_software,UT Dallas and Arizona State,multi-hand,"canonical sphere action + Cascade IK",yes,Apache-2.0,"LEAP Allegro Shadow MANO unified action space; pretrained models and Isaac Lab code"
T-800,data_glove,PKU and UCAS,18 IMU nodes,800 Hz synchronized IMU,partial,CC BY 4.0 paper,high-frequency full-hand motion capture
LinkerHand L20Lite,dexterous_hand,Linkerbot,model-specific,URDF and mesh model,yes,Apache-2.0,URDF and meshes updated to match released hardware
Inspire Hand Retargeting,teleoperation,community,6 output dimensions,RealSense D405 + MediaPipe,yes,unknown,experimental vision-based retargeting and UDP pipeline
Dexterous Slip Detection for XHAND1,tactile_software,community,model-specific,XHAND1 tactile taxel simulation,yes,Apache-2.0,MuJoCo energy-flow slip detection and grip/wrist teacher search
WHATsLAB Dexterous Hand URDF Collection,software_stack,WHATsLAB,multi-hand,URDF + meshes,yes,mixed upstream licenses,curated Orca HX5 Allegro LEAP SCHUNK and Tesollo models
SeededGrasp,grasp_dataset,University of Toronto Vector Institute and UBC,"Franka Panda + Allegro + Robotiq 3-Finger","RGB-D language seed + 2.56M 6D grasp poses",pending,unknown,"multi-embodiment cluttered-scene grasp database announced; repository currently placeholder; 72 percent simulation and 78 percent Delto real-world success"
V2F,force_prediction_software,Khalifa University and collaborators,gripper-level,"stereo vision + geometric features + load cell ground truth",no,unknown,"physics-informed residual model predicts pre-contact safe force for fragile date fruits; accepted IROS 2026"
Masked Visual Actions,world_model,Stanford UMD and Harvard,multi-embodiment,"RGB video + pixel-space masked robot/object trajectory",yes,Apache-2.0,"15h finetuning; inference training recipe and LoRA weights released; supports forward and inverse world modeling"
Passive Rotating Underactuated Hand,dexterous_hand_research,LS2N and collaborators,"underactuated active/passive mix","mechanical differential + passive finger-base rotation",no,unknown,"physical prototype demonstrates cylindrical spherical parallel and enveloping grasps; CAD and control not released"
HOST,human_video_skill_learning,Shanghai AI Lab and collaborators,multi-task,"RGB human video + robot observations + task progress + predicted future observations",no,unknown,"inference-time one-shot skill acquisition from one human video; 193462 robot trajectories over 229 tasks plus 5847 human-video pairs; 62 percent average success on 50 novel tasks"
EgoRecovery,recovery_learning,Fudan University Simple AI and collaborators,multi-task,"egocentric human recovery video + robot observations + corrective intent + recovery gate",yes,to verify,"human recovery data collected at about 10x robot teleoperation throughput; 85 percent recovery success with 300 human recovery clips in the main setting"
ModPack,teleoperation_hardware,Stanford University,"6 or 7 DoF bimanual leader arms + mobile base + active head","joint state + joint command + camera + F/T-derived haptic torque + operator head/base tracking",yes,MIT,"wearable modular backpack teleoperation stack; supports ARX5 and RB-Y1m; software and logging released while policy code is not included"
FELT,tactile_generation,University of Michigan and collaborators,parallel_gripper,"wrist RGB 60Hz + dual FlexiTac 23Hz + robot state 60Hz",announced,to verify,"generates per-finger tactile pressure images from UMI demonstrations; 2700+ demos and 2.6M RGB-tactile pairs; four real contact-rich tasks"
URF,force_control,University of Washington and collaborators,7DoF_arm,"wrist RGB + 6-axis F/T + proprioception + one-second force history",no,unknown,"policy predicts virtual target stiffness matrix and impedance-admittance blend; 90 percent box-flip and 100 percent line-press success"
AXIS,robot_dataset_platform,Axis Robotics,"Franka Research 3 + parallel gripper","browser MuJoCo teleoperation + RGB-D + state/action/success metadata",yes,"controlled non-commercial academic access","paper snapshot 207 tasks 50K+ trajectories 60K+ variants; full dataset 2.36TB and no redistribution"
BiCompoDiff,bimanual_planning,University of Southern California and collaborators,"dual UR12e + Robotiq 2F-140","6D pick handover regrasp place grasp tuples",no,unknown,"joint diffusion and energy-based optimization for bimanual handover; 60-task benchmark and real-world validation"
Scale Up Strategically,data_collection_strategy,University of California Berkeley and collaborators,multi-policy,"instruction factor coverage and grounding scores",no,unknown,"bias-aware demonstration allocation prioritizes under-grounded color object spatial verb and size factors"
AgiBot IPO Process,company_update,AgiBot,not applicable,not applicable,no,commercial,"Hong Kong listing process started 2026-07-24; no new OmniHand technical specification or SDK release"
G1 BrainCo Hands Digital Twin,simulation_software,Humanoid Team ISR Lab,"G1 29DoF body + 2x BrainCo Revo2-style hands (6 active/11 total each)","DDS rt/lowcmd lowstate + rt/brainco/{side}/cmd,state + egocentric camera",yes,BSD-3-Clause,"new community MuJoCo digital twin using real-hardware topic/message parity; current-derived tau_est and fingertip contacts not modeled"
ISyHand RL,simulation_software,Max Planck Institute for Intelligent Systems and collaborators,"ISyHand articulated-palm hand + Allegro + LEAP baselines","Isaac Gym proprioception + cube reorientation state",yes,"see NOTICE and upstream asset licenses","new official simulation code release with pretrained checkpoints for ISyHand flat ISyHand Allegro and LEAP; external URDF assets required"
DEED,robot_post_training,HIVE Robots and Technical University of Denmark,"Unitree G1-Edu + Dex-3 hands","3 RGB streams + 20D reduced action + teleop demos + autonomous rollouts + human corrections",no,CC BY 4.0 paper,"real supermarket restocking; 81 teleop demos and 116 autonomous rollouts; naive SFT 0 percent engineered policy 32 percent first experience iteration 42 percent second 22 percent due distribution drift"
AnyDexRetarget,retargeting_software,community,multi-hand,"AVP Quest3 Pico4 Noitom MediaPipe RealSense inputs + Pinocchio FK/Jacobian",yes,MIT,"2026-07-23 update supports 13 hands and adds Gaia Hand20/Pico4; adaptive pinch-aware and key-vector optimizers; selected real-hand drivers"
TopoRetarget-Repro,retargeting_reproduction,community,multi-hand,"canonical HOI schema + MANO/GRAB + URDF FK + interaction graph + constrained optimization",yes,GPL-3.0,"unofficial paper-traceable reproduction; stages 0-9 bounded complete and stage10 has one 60-frame reference run; no RL/result reproduction"
BrainCo RevoHand SDK v2.0.3,commercial_sdk,BrainCo,Revo1/Revo2,"RS485 CAN CANFD EtherCAT + state/tactile examples",partial,Proprietary,"2026-07-23 version bump from 2.0.2 to 2.0.3; no detailed functional changelog disclosed"
Dexterous Hand Competition ROS2,task_software,community,"Inspire RH56F2 + abstract arm","50Hz hand state + 30Hz vision + scale + grasp-force parameters",yes,unknown,"new ROS2 framework for powder weighing and tweezer bean picking; mock arm and no verified real-world benchmark"
HandUMI,robot_free_umi,RoboNet AI,"per hand wrist 6D + 1D gripper aperture","XR controller SE3 + Feetech encoder + wrist fisheye RGB",yes,Apache-2.0,"wearable parallel-jaw UMI; hardware STL/BOM and synchronized capture calibration validation replay retarget software; approximately USD110 per unit excluding headset"
Trossen TRumi,commercial_umi,Trossen Robotics,"end-effector 6D + gripper aperture","GoPro HERO13 ultrawide + raw IMU + visual-inertial SLAM",no,Commercial,"productized handheld UMI; bimanual kit USD2195.99 with cameras or USD949.95 without; MCAP/Zarr pipeline; no tactile"
VNB-Grasp,grasp_robustness_software,University of Maryland and collaborators,"ZArm 622 + RealHand L6","differentiable Gaussian-mixture belief over contact friction and object pose + MuJoCo perturbations",yes,Apache-2.0,"IROS 2026 code release with assets grasp databases CVaR metrics belief MPC and table-by-table simulation reproduction; includes real hardware comparisons"
HandUMI PiPER Joint Samples,dataset,Autobrik and RoboNet AI,"dual PiPER 12 arm joints + 2 gripper widths","three RGB videos + 14D state/action at 30Hz + calibration and retarget manifests",yes,other,"small LeRobot v3 sample datasets; three episodes each and useful for schema/derivation testing rather than policy benchmarking"
ViTacWorld,visuo_tactile_world_model,ShanghaiTech University and InstAdapt,"Franka Panda + Robotiq 2F-85","main RGB + wrist RGB + dual Xense tactile + relative EEF action",pending,unknown,"action-conditioned visuo-tactile world model; 300 expert demos and policy rollouts; tactile pi0.5 average success 42.5 to 67.5 percent and round-2 80 percent; GitHub coming soon"
TactaBot Tacta Hand Tacta Glove,commercial_dexterous_stack,Tacta Systems,"15 independently actuated joints","Fluidic Tendon + 250-700000Pa tactile at 400Hz + 0.1C temperature + glove force motion video",no,Commercial,"first unveiled 2026-07-27; full-stack industrial hand skill-capture glove and Dexterous AI; no price SDK or raw interface disclosed"
OSOR Monolithic Soft Hand,dexterous_hand_research,King's College London and collaborators,"soft finger and palm actuation","AOB/ADC pneumatic chambers; 203deg finger bend 40deg palm bend 6.3N finger 16N palm",no,unknown,"single-material SLS TPU monolithic soft hand; physical grasp demonstrations; no CAD BOM or control release found"
DynaMAC DynaBench,bimanual_dynamic_policy,University of Freiburg,"multi-arm EEF trajectories","object and opposite-arm dynamic frames + kinematic-link state",yes,to verify,"open code models and RLBench benchmark; over 35 percentage-point gain with 20x fewer samples and zero-shot static-to-dynamic transfer"
Multi-Hand Assignment and Null-Space Search,multi_arm_policy_grounding,Carnegie Mellon University,multi-arm,"abstract hand EEF trajectories + robot kinematics/collision models",partial,to verify,"Conflict-Based Search jointly searches discrete arm assignment and continuous Jacobian null spaces to safely ground multi-hand policy trajectories"
